方案	縣市	學校名稱	年份
精進方案	新北市	板橋國小	2025
精進方案	新北市	中港國小	2025
續航方案	新北市	光復國小	2025
續航方案	新北市	明志國小	2025
續航方案	新北市	德音國小	2025
普及方案	苗栗縣	山佳國小	2025
普及方案	桃園市	同安國小	2025
普及方案	臺北市	私立光仁國小	2025
普及方案	新竹市	頂埔國小	2025
普及方案	新竹縣	新港國小	2025
普及方案	南投縣	鹿谷國小	2025
普及方案	臺北市	市大附小	2025
普及方案	金門縣	古城國小	2025
普及方案	花蓮縣	明廉國小	2025
普及方案	新竹市	竹蓮國小	2025
普及+精進方案	臺北市	國語實小	2025
普及+精進方案	桃園市	同德國小	2025
普及+精進方案	臺中市	九德國小	2025
普及+精進方案	金門縣	上岐國小	2025
精進方案	屏東縣	瓦?國小	2025
精進方案	苗栗縣	栗林國小	2025
精進方案	高雄市	港和國小	2025
精進方案	高雄市	四維國小	2025
精進方案	臺南市	日新國小	2025
精進方案	臺北市	民生國小	2025
精進Plus方案	南投縣	私立普台國小	2025
精進Plus方案	臺中市	鐵山國小	2025
精進Plus方案	臺北市	金華國小	2025
精進Plus方案	苗栗縣	景山國小	2025
續航方案	臺北市	宸恩實驗教育機構	2025
續航方案	臺北市	長華國際蒙特梭利實驗教育機構	2025
續航方案	桃園市	?林國小	2025
續航方案	新竹市	東門國小	2025
續航方案	新竹市	關埔國小	2025
續航方案	新竹縣	私立上智小學	2025
續航方案	嘉義市	文雅國小	2025
續航方案	嘉義市	崇文國小	2025
續航方案	嘉義縣	竹崎國小	2025
續航方案	臺南市	安順國小	2025
續航方案	桃園市	仁善國小	2025
續航方案	嘉義縣	新塭國小	2025
續航方案	苗栗縣	建功國小	2025
續航方案	金門縣	賢庵國小	2025
策略聯盟	宜蘭縣	成功國小	2025
策略聯盟	宜蘭縣	羅東國小	2025
策略聯盟	宜蘭縣	南屏國小	2025
策略聯盟	宜蘭縣	同樂國小	2025
策略聯盟	宜蘭縣	文化國中	2025
營隊	彰化縣	彰安國中	2025
營隊	彰化縣	大村國小	2025
營隊	彰化縣	文祥國小	2025
營隊	彰化縣	湖東國小	2025
營隊	彰化縣	湖北國小	2025
營隊	彰化縣	媽厝國小	2025
營隊	彰化縣	明聖國小	2025
營隊	彰化縣	育新國小	2025
營隊	彰化縣	文開國小	2025
營隊	彰化縣	線西國小	2025
營隊	彰化縣	明禮國小	2025
營隊	彰化縣	舊社國小	2025
營隊	彰化縣	土庫國小	2025
營隊	彰化縣	合興國小	2025
營隊	彰化縣	萬興國小	2025
營隊	彰化縣	新生國小	2025
營隊	彰化縣	廣興國小	2025
營隊	彰化縣	員林國小	2025
